key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
caliburn_boss_0001_00_npc_00_00001,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0001,Caliburn 0001,caliburn_boss_0001_00,boss_0001_00,caliburn_boss_0001_00_npc_00,boss_0001_00_npc_00,boss_0001_00,boss,0001_00,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0001_00_npc_00_00002,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0001,Caliburn 0001,caliburn_boss_0001_00,boss_0001_00,caliburn_boss_0001_00_npc_00,boss_0001_00_npc_00,boss_0001_00,boss,0001_00,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0001_00_npc_00_00003,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0001,Caliburn 0001,caliburn_boss_0001_00,boss_0001_00,caliburn_boss_0001_00_npc_00,boss_0001_00_npc_00,boss_0001_00,boss,0001_00,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Kliff!,Kliff!,gamedata/localizationstring_eng.paloc
caliburn_boss_0001_00_npc_00_00004,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0001,Caliburn 0001,caliburn_boss_0001_00,boss_0001_00,caliburn_boss_0001_00_npc_00,boss_0001_00_npc_00,boss_0001_00,boss,0001_00,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0001_00_npc_00_00005,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0001,Caliburn 0001,caliburn_boss_0001_00,boss_0001_00,caliburn_boss_0001_00_npc_00,boss_0001_00_npc_00,boss_0001_00,boss,0001_00,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0001_00_npc_00_00006,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0001,Caliburn 0001,caliburn_boss_0001_00,boss_0001_00,caliburn_boss_0001_00_npc_00,boss_0001_00_npc_00,boss_0001_00,boss,0001_00,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0001_00_npc_00_00007,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0001,Caliburn 0001,caliburn_boss_0001_00,boss_0001_00,caliburn_boss_0001_00_npc_00,boss_0001_00_npc_00,boss_0001_00,boss,0001_00,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00007,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I stand here before you as Stefan Lanford of Calphade.,I stand here before you as Stefan Lanford of Calphade.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00008,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"But let me ask, who are you?","But let me ask, who are you?",gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00009,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Are you the houses you hail from, the banners you bear,","Are you the houses you hail from, the banners you bear,",gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00010,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,or the many titles that adorn you?,or the many titles that adorn you?,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00011,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Today, we stand united,","Today, we stand united,",gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00012,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"to put an end to the one who slaughters our brethren,","to put an end to the one who slaughters our brethren,",gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00013,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,whose twisted ideals bring ruin upon us.,whose twisted ideals bring ruin upon us.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00014,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Caliburn must be stopped!,Caliburn must be stopped!,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00015,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,He who sought to topple Hernand with his vile schemes!,He who sought to topple Hernand with his vile schemes!,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00016,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,He who imposed his false justice upon Demeniss!,He who imposed his false justice upon Demeniss!,gamedata/localizationstring_eng.paloc
